brand,model,date,km_driven,transmission,fuel,type,seats,price,url
Toyota,Innova,2008,127534,Automatic,Gasoline,Minivan (MPV),8,323.000.000,https://xe.chotot.com/mua-ban-oto-quan-tan-binh-tp-ho-chi-minh/91448389.htm
Kia,Cerato,2021,1000,Automatic,Gasoline,Sedan,5,578.000.000,https://xe.chotot.com/mua-ban-oto-quan-thu-duc-tp-ho-chi-minh/91448384.htm
Kia,K3,2015,6,Automatic,Gasoline,Sedan,5,442.000.000,https://xe.chotot.com/mua-ban-oto-quan-nam-tu-liem-ha-noi/91448377.htm
Toyota,Innova,2009,180000,Manual,Gasoline,Minivan (MPV),8,209.000.000,https://xe.chotot.com/mua-ban-oto-huyen-thong-nhat-dong-nai/91430647.htm
Chevrolet,Spark,2008,150000,Manual,Gasoline,Minivan (MPV),5,85.000.000,https://xe.chotot.com/mua-ban-oto-huyen-krong-pac-dak-lak/89215860.htm
Toyota,Zace,2005,120000,Manual,Gasoline,SUV / Cross over,8,195.000.000,https://xe.chotot.com/mua-ban-oto-quan-cau-giay-ha-noi/91387960.htm
BMW,3 Series,2016,800000,Automatic,Gasoline,Sedan,5,930.000.000,https://xe.chotot.com/mua-ban-oto-quan-cau-giay-ha-noi/91448337.htm
Toyota,Zace,2003,241045,Manual,Gasoline,SUV / Cross over,8,142.555.000,https://xe.chotot.com/mua-ban-oto-thi-xa-ben-cat-binh-duong/88494179.htm
Hyundai,Grand i10,2017,42000,Automatic,Gasoline,Hatchback,5,325.000.000,https://xe.chotot.com/mua-ban-oto-quan-thu-duc-tp-ho-chi-minh/91390838.htm
Ford,Ranger,2019,76000,Automatic,Diesel,Pick-up (bán tải),5,763.000.000,https://xe.chotot.com/mua-ban-oto-huyen-binh-chanh-tp-ho-chi-minh/91448278.htm
Toyota,Innova,2008,127534,Automatic,Gasoline,Minivan (MPV),8,323.000.000,https://xe.chotot.com/mua-ban-oto-quan-tan-binh-tp-ho-chi-minh/91448389.htm
Kia,Cerato,2021,1000,Automatic,Gasoline,Sedan,5,578.000.000,https://xe.chotot.com/mua-ban-oto-quan-thu-duc-tp-ho-chi-minh/91448384.htm
Kia,K3,2015,6,Automatic,Gasoline,Sedan,5,442.000.000,https://xe.chotot.com/mua-ban-oto-quan-nam-tu-liem-ha-noi/91448377.htm
Toyota,Innova,2009,180000,Manual,Gasoline,Minivan (MPV),8,209.000.000,https://xe.chotot.com/mua-ban-oto-huyen-thong-nhat-dong-nai/91430647.htm
Chevrolet,Spark,2008,150000,Manual,Gasoline,Minivan (MPV),5,85.000.000,https://xe.chotot.com/mua-ban-oto-huyen-krong-pac-dak-lak/89215860.htm
Toyota,Zace,2005,120000,Manual,Gasoline,SUV / Cross over,8,195.000.000,https://xe.chotot.com/mua-ban-oto-quan-cau-giay-ha-noi/91387960.htm
BMW,3 Series,2016,800000,Automatic,Gasoline,Sedan,5,930.000.000,https://xe.chotot.com/mua-ban-oto-quan-cau-giay-ha-noi/91448337.htm
Toyota,Zace,2003,241045,Manual,Gasoline,SUV / Cross over,8,142.555.000,https://xe.chotot.com/mua-ban-oto-thi-xa-ben-cat-binh-duong/88494179.htm
Hyundai,Grand i10,2017,42000,Automatic,Gasoline,Hatchback,5,325.000.000,https://xe.chotot.com/mua-ban-oto-quan-thu-duc-tp-ho-chi-minh/91390838.htm
Ford,Ranger,2019,76000,Automatic,Diesel,Pick-up (bán tải),5,763.000.000,https://xe.chotot.com/mua-ban-oto-huyen-binh-chanh-tp-ho-chi-minh/91448278.htm
Hyundai,Accent,2012,6223,Automatic,Gasoline,Sedan,5,335.000.000,https://xe.chotot.com/mua-ban-oto-huyen-nghi-xuan-ha-tinh/91448427.htm
Kia,Sorento,2017,58769,Automatic,Gasoline,SUV / Cross over,7,710.000.000,https://xe.chotot.com/mua-ban-oto-quan-cau-giay-ha-noi/75151686.htm
Toyota,Innova,2008,127534,Automatic,Gasoline,Minivan (MPV),8,323.000.000,https://xe.chotot.com/mua-ban-oto-quan-tan-binh-tp-ho-chi-minh/91448389.htm
Kia,Cerato,2021,1000,Automatic,Gasoline,Sedan,5,578.000.000,https://xe.chotot.com/mua-ban-oto-quan-thu-duc-tp-ho-chi-minh/91448384.htm
Kia,K3,2015,6,Automatic,Gasoline,Sedan,5,442.000.000,https://xe.chotot.com/mua-ban-oto-quan-nam-tu-liem-ha-noi/91448377.htm
Toyota,Innova,2009,180000,Manual,Gasoline,Minivan (MPV),8,209.000.000,https://xe.chotot.com/mua-ban-oto-huyen-thong-nhat-dong-nai/91430647.htm
Chevrolet,Spark,2008,150000,Manual,Gasoline,Minivan (MPV),5,85.000.000,https://xe.chotot.com/mua-ban-oto-huyen-krong-pac-dak-lak/89215860.htm
Toyota,Zace,2005,120000,Manual,Gasoline,SUV / Cross over,8,195.000.000,https://xe.chotot.com/mua-ban-oto-quan-cau-giay-ha-noi/91387960.htm
BMW,3 Series,2016,800000,Automatic,Gasoline,Sedan,5,930.000.000,https://xe.chotot.com/mua-ban-oto-quan-cau-giay-ha-noi/91448337.htm
Toyota,Zace,2003,241045,Manual,Gasoline,SUV / Cross over,8,142.555.000,https://xe.chotot.com/mua-ban-oto-thi-xa-ben-cat-binh-duong/88494179.htm
Kia,Rondo,2016,65000,Automatic,Diesel,Minivan (MPV),7,520.000.000,https://xe.chotot.com/mua-ban-oto-quan-nam-tu-liem-ha-noi/90551579.htm#px=SR-stickyad-[PO-1][PL-top]
Toyota,Corolla,2000,80000,Manual,Gasoline,Sedan,5,195.000.000,https://xe.chotot.com/mua-ban-oto-quan-binh-tan-tp-ho-chi-minh/91254201.htm
Hyundai,Accent,2012,6223,Automatic,Gasoline,Sedan,5,335.000.000,https://xe.chotot.com/mua-ban-oto-huyen-nghi-xuan-ha-tinh/91448427.htm
Kia,Sorento,2017,58769,Automatic,Gasoline,SUV / Cross over,7,710.000.000,https://xe.chotot.com/mua-ban-oto-quan-cau-giay-ha-noi/75151686.htm
Toyota,Innova,2008,127534,Automatic,Gasoline,Minivan (MPV),8,323.000.000,https://xe.chotot.com/mua-ban-oto-quan-tan-binh-tp-ho-chi-minh/91448389.htm
Kia,Cerato,2021,1000,Automatic,Gasoline,Sedan,5,578.000.000,https://xe.chotot.com/mua-ban-oto-quan-thu-duc-tp-ho-chi-minh/91448384.htm
Kia,K3,2015,6,Automatic,Gasoline,Sedan,5,442.000.000,https://xe.chotot.com/mua-ban-oto-quan-nam-tu-liem-ha-noi/91448377.htm
Toyota,Innova,2009,180000,Manual,Gasoline,Minivan (MPV),8,209.000.000,https://xe.chotot.com/mua-ban-oto-huyen-thong-nhat-dong-nai/91430647.htm
Chevrolet,Spark,2008,150000,Manual,Gasoline,Minivan (MPV),5,85.000.000,https://xe.chotot.com/mua-ban-oto-huyen-krong-pac-dak-lak/89215860.htm
Toyota,Zace,2005,120000,Manual,Gasoline,SUV / Cross over,8,195.000.000,https://xe.chotot.com/mua-ban-oto-quan-cau-giay-ha-noi/91387960.htm
BMW,3 Series,2016,800000,Automatic,Gasoline,Sedan,5,930.000.000,https://xe.chotot.com/mua-ban-oto-quan-cau-giay-ha-noi/91448337.htm
Toyota,Zace,2003,241045,Manual,Gasoline,SUV / Cross over,8,142.555.000,https://xe.chotot.com/mua-ban-oto-thi-xa-ben-cat-binh-duong/88494179.htm
Kia,Rondo,2016,65000,Automatic,Diesel,Minivan (MPV),7,520.000.000,https://xe.chotot.com/mua-ban-oto-quan-nam-tu-liem-ha-noi/90551579.htm#px=SR-stickyad-[PO-1][PL-top]
Hyundai,Tucson,2009,11223,Manual,Gasoline,SUV / Cross over,5,245.000.000,https://xe.chotot.com/mua-ban-oto-quan-nam-tu-liem-ha-noi/90551579.htm#px=SR-stickyad-[PO-1][PL-top]
Toyota,Corolla,2000,80000,Manual,Gasoline,Sedan,5,195.000.000,https://xe.chotot.com/mua-ban-oto-quan-binh-tan-tp-ho-chi-minh/91254201.htm
Hyundai,Accent,2012,6223,Automatic,Gasoline,Sedan,5,335.000.000,https://xe.chotot.com/mua-ban-oto-huyen-nghi-xuan-ha-tinh/91448427.htm
Kia,Sorento,2017,58769,Automatic,Gasoline,SUV / Cross over,7,710.000.000,https://xe.chotot.com/mua-ban-oto-quan-cau-giay-ha-noi/75151686.htm
Toyota,Innova,2008,127534,Automatic,Gasoline,Minivan (MPV),8,323.000.000,https://xe.chotot.com/mua-ban-oto-quan-tan-binh-tp-ho-chi-minh/91448389.htm
Kia,Cerato,2021,1000,Automatic,Gasoline,Sedan,5,578.000.000,https://xe.chotot.com/mua-ban-oto-quan-thu-duc-tp-ho-chi-minh/91448384.htm
Kia,K3,2015,6,Automatic,Gasoline,Sedan,5,442.000.000,https://xe.chotot.com/mua-ban-oto-quan-nam-tu-liem-ha-noi/91448377.htm
Toyota,Innova,2009,180000,Manual,Gasoline,Minivan (MPV),8,209.000.000,https://xe.chotot.com/mua-ban-oto-huyen-thong-nhat-dong-nai/91430647.htm
Chevrolet,Spark,2008,150000,Manual,Gasoline,Minivan (MPV),5,85.000.000,https://xe.chotot.com/mua-ban-oto-huyen-krong-pac-dak-lak/89215860.htm
Toyota,Zace,2005,120000,Manual,Gasoline,SUV / Cross over,8,195.000.000,https://xe.chotot.com/mua-ban-oto-quan-cau-giay-ha-noi/91387960.htm
BMW,3 Series,2016,800000,Automatic,Gasoline,Sedan,5,930.000.000,https://xe.chotot.com/mua-ban-oto-quan-cau-giay-ha-noi/91448337.htm
