price,source_url,seats,name,year,typeOfCar,condition,origin,km_driven,city,transmission,fuels
505000000,https://oto.com.vn/mua-ban-xe-toyota-camry-ha-noi/can-ban-xe-24g-san-xuat-2011-gia-chi-505-trieu-option-mien-man-tang-bao-duong-1-nam-aidxc6218152,5," Toyota Camry 2.4G 2011 - 505 triệu
            ", 2011, Sedan, Đã qua sử dụng, Trong nước, 100.000 km, Hà Nội, Số tự động, Xăng
405000000,https://oto.com.vn/mua-ban-xe-toyota-innova-ha-noi/gia-hung-auto-ban-xe-20e-mau-bac-1-chi-tu-moi-aidxc3442693,7," Toyota Innova 2.0E 2016 - 405 triệu
            ", 2016, MPV, Đã qua sử dụng, Trong nước, 80.000 km, Hà Nội, Số tay, Xăng
3550000000,https://oto.com.vn/mua-ban-xe-toyota-sienna-hcm/ban-limited-35-2018-nam-san-xuat-2018-aidxc3023065,7," Toyota Sienna 2018 - 3 tỉ 550 triệu
            ", 2018, Van/Minivan, Đã qua sử dụng, Nhập khẩu, 20.000 km, Tp.HCM, Số tự động, Xăng
610000000,https://oto.com.vn/mua-ban-xe-toyota-camry-hcm/may-20-model-2015-mot-doi-chu-xe-nha-trum-men-khong-chay-boi-vay-con-rat-moi-toan-bo-con-zin-theo-xe-aidxc3452554,5," Toyota Camry 2015 - 610 triệu
            ", 2015, Sedan, Đã qua sử dụng, Nhập khẩu, 56.000 km, Tp.HCM, Số tự động, Xăng
3390000000,https://oto.com.vn/mua-ban-xe-toyota-sienna-ha-noi/ban-limited-platinum-35-nhap-my-san-xuat-2018-sieu-moi-aidxc3091529,7," Toyota Sienna 2018 - 3 tỉ 390 triệu
            ", 2018, Van/Minivan, Đã qua sử dụng, Nhập khẩu, 18.000 km, Hà Nội, Số tự động, Diesel
3460000000,https://oto.com.vn/mua-ban-xe-toyota-land-cruiser-hcm/vx-nam-2017-full-option-tu-lanh-bodikit-camera-360-dvd-cua-hit-cop-dien-xe-nha-trum-men-khong-chay-con-rat-moi-aidxc8523347,7," Toyota Land Cruiser VX 4.6 V8 2017 - 3 tỉ 460 triệu
            ", 2017, SUV, Đã qua sử dụng, Nhập khẩu, 52.000 km, Tp.HCM, Số tự động, Xăng
1680000000,https://oto.com.vn/mua-ban-xe-toyota-sienna-ha-noi/ban-35-xle-nhap-my-sx2013-dk-2014den-noi-that-nau-chay-chua-den-7-van-km-cuc-moi-aidxc5286480,7," Toyota Sienna XLE 3.5 AT AWD 2013 - 1 tỉ 680 triệu
            ", 2013, Van/Minivan, Đã qua sử dụng, Nhập khẩu, 69.000 km, Hà Nội, Số tự động, Xăng
635000000,https://oto.com.vn/mua-ban-xe-toyota-corolla-altis-ha-noi/18g-cvt-san-xuat-2018-aidxc5382423,5," Toyota Corolla Altis 1.8G CVT 2018 - 635 triệu
            ", 2018, Sedan, Đã qua sử dụng, Trong nước, 40.000 km, Hà Nội, Số tự động, Xăng
2450000000,https://oto.com.vn/mua-ban-xe-toyota-land-cruiser-ha-noi/ban-vx-v8-nam-2015-mau-den-bao-test-toan-quoc-aid1xc10174186,7," Toyota Land Cruiser VX 4.6 V8 2015 - 2 tỉ 450 triệu
            ", 2015, SUV, Đã qua sử dụng, Trong nước, 100.000 km, Hà Nội, Số tự động, Xăng
715000000,https://oto.com.vn/mua-ban-xe-toyota-camry-ha-noi/can-ban-25q-dang-ky-2014-gia-tot-aidxc8692131,5," Toyota Camry 2.5Q 2014 - 715 triệu
            ", 2014, Sedan, Đã qua sử dụng, Trong nước, 78.000 km, Hà Nội, Số tự động, Xăng
538000000,https://oto.com.vn/mua-ban-xe-toyota-fortuner-lam-dong/ban-doi-2011-ban-g-may-dau-so-san-mau-bac-gia-canh-tranh-aid1xc5717900,7," Toyota Fortuner 2.5G 4x2MT 2011 - 538 triệu
            ", 2011, SUV, Đã qua sử dụng, Trong nước, 130.000 km, Lâm Đồng, Số tay, Diesel
435000000,https://oto.com.vn/mua-ban-xe-toyota-yaris-ha-noi/ban-gap-xe-o-to-g-san-xuat-nam-2015-mau-den-xe-gia-dinh-giu-gin-can-than-con-zin-nguyen-xe-aid1xc7595831,5," Toyota Yaris 1.3G 2015 - 435 triệu
            ", 2015, Hatchback, Đã qua sử dụng, Trong nước, 65.000 km, Hà Nội, Số tự động, Xăng
520000000,https://oto.com.vn/mua-ban-xe-toyota-innova-binh-dinh/hot-ban-o-to-nam-2018-moi-95-gia-520tr-aidxc10829221,8," Toyota Innova 2.0E 2018 - 520 triệu
            ", 2018, MPV, Đã qua sử dụng, Trong nước, 35.000 km, Bình Định, Số tay, Xăng
415000000,https://oto.com.vn/mua-ban-xe-toyota-innova-hcm/can-ban-xe-g-at-san-xuat-2014-mau-bac-aidxc10036397,7," Toyota Innova 2.0G 2014 - 415 triệu
            ", 2014, MPV, Đã qua sử dụng, Trong nước, 80.000 km, Tp.HCM, Số tự động, Xăng
259000000,https://oto.com.vn/mua-ban-xe-toyota-innova-hcm/xe-20g-nam-2009-mau-bac-259-trieu-aidxc10898359,8," Toyota Innova 2.0G 2009 - 259 triệu
            ", 2009, MPV, Đã qua sử dụng, Trong nước, 130.000 km, Tp.HCM, Số tay, Xăng
525000000,https://oto.com.vn/mua-ban-xe-toyota-innova-hcm/ban-gap-20e-so-san-2018-bien-so-sai-gon-xe-rat-dep-vi-vu-di-tet-aidxc7510975,7," Toyota Innova 2.0E 2018 - 525 triệu
            ", 2018, MPV, Đã qua sử dụng, Trong nước, 68.000 km, Tp.HCM, Số tay, Xăng
440000000,https://oto.com.vn/mua-ban-xe-toyota-vios-hcm/2020-15e-mt-uu-dai-cuc-tot-ho-tro-tra-gop-lai-thap-aidxc9169428,5," Toyota Vios 1.5E MT (3 túi khí) 2020 - 440 triệu
            ", 2020, Sedan, Đã qua sử dụng, Trong nước, 23.100 km, Tp.HCM, Số tay, Xăng
398000000,https://oto.com.vn/mua-ban-xe-toyota-corolla-altis-ha-noi/sieu-pham-18g-nam-2010-aidxc7539787,5," Toyota Corolla Altis 1.8G 2010 - 398 triệu
            ", 2010, Sedan, Đã qua sử dụng, Trong nước, 65.000 km, Hà Nội, Số tự động, Xăng
2360000000,https://oto.com.vn/mua-ban-xe-toyota-land-cruiser-ha-noi/ban-gap-vx-v8-46l-nam-2013-nhap-khau-nhat-ban-mau-den-mot-chu-tu-moi-xe-dep-zin-khong-mot-loi-nho-aid1xc9922024,7," Toyota Land Cruiser VX 4.6 V8 2013 - 2 tỉ 360 triệu
            ", 2013, SUV, Đã qua sử dụng, Nhập khẩu, 90.000 km, Hà Nội, Số tự động, Xăng
125000000,https://oto.com.vn/mua-ban-xe-toyota-corolla-ha-nam/xe-16-gli-nam-1998-xe-nhap-125tr-aidxc9055976,5," Toyota Corolla 1.6GLi 1998 - 125 triệu
            ", 1998, Sedan, Đã qua sử dụng, Nhập khẩu, 190.000 km, Hà Nam, Số tay, Xăng
630000000,https://oto.com.vn/mua-ban-xe-toyota-fortuner-ha-noi/gia-hung-auto-ban-xe-25g-mau-trang-may-dau-so-san-aidxc3102187,7," Toyota Fortuner 2016 - 630 triệu
            ", 2016, SUV, Đã qua sử dụng, Trong nước, 70.000 km, Hà Nội, Số tay, Diesel
399000000,https://oto.com.vn/mua-ban-xe-toyota-vios-ha-noi/xe-tot-e-ctv-nam-2017-gia-chi-407tr-co-thuong-luong-aidxc3449946,5," Toyota Vios 1.5 E CVT 2017 - 399 triệu
            ", 2017, Sedan, Đã qua sử dụng, Trong nước, 60.000 km, Hà Nội, Số tự động, Xăng
4750000000,https://oto.com.vn/mua-ban-xe-toyota-land-cruiser-hcm/ban-gap-xe-vx-46-v8-mau-den-nam-san-xuat-2020-nhap-khau-xe-sieu-luot-moi-nhu-xe-thung-con-bao-hanh-hang-aid1xc9856851,7," Toyota Land Cruiser VX 4.6 V8 2020 - 4 tỉ 750 triệu
            ", 2020, SUV, Đã qua sử dụng, Nhập khẩu, 11.000 km, Tp.HCM, Số tự động, Xăng
350000000,https://oto.com.vn/mua-ban-xe-toyota-corolla-altis-ha-noi/ban-xe-18at-dang-ky-lan-dau-2009-xe-gia-dinh-gia-tot-345tr-aidxc5318841,5," Toyota Corolla Altis 1.8AT 2009 - 350 triệu
            ", 2009, Sedan, Đã qua sử dụng, Trong nước, 20.000 km, Hà Nội, Số tự động, Xăng
565000000,https://oto.com.vn/mua-ban-xe-toyota-fortuner-hcm/27-tu-dong-model-2013-aidxc10771638,7," Toyota Fortuner 2.7 V 4X2 AT 2012 - 565 triệu
            ", 2012, SUV, Đã qua sử dụng, Trong nước, 65.000 km, Tp.HCM, Số tự động, Xăng
845000000,https://oto.com.vn/mua-ban-xe-toyota-prado-ha-noi/ban-xe-dang-ky-2009-con-moi-gia-tot-845tr-aidxc5869132,7," Toyota Prado 2009 - 845 triệu
            ", 2009, SUV, Đã qua sử dụng, Nhập khẩu, 11.000 km, Hà Nội, Số tự động, Xăng
565000000,https://oto.com.vn/mua-ban-xe-toyota-innova-hcm/can-ban-20e-doi-2018-moi-90-aidxc3351346,7," Toyota Innova 2.0E 2018 - 565 triệu
            ", 2018, MPV, Đã qua sử dụng, Trong nước, 45.000 km, Tp.HCM, Số tay, Xăng
808000000,https://oto.com.vn/mua-ban-xe-toyota-fortuner-ha-noi/ban-gap-o-to-27-4x2-at-nam-2016-mau-den-thu-tuc-sang-ten-nhanh-gon-hop-phap-ly-gia-tot-aid1xc6990669,7," Toyota Fortuner 2.7 4X2AT* 2016 - 808 triệu
            ", 2016, SUV, Đã qua sử dụng, Trong nước, 71.000 km, Hà Nội, Số tự động, Xăng
998000000,https://oto.com.vn/mua-ban-xe-toyota-fortuner-hcm/ban-xe-at-nam-2020-chinh-chu-gia-tot-998tr-aidxc3476556,7," Toyota Fortuner 2020 - 998 triệu
            ", 2020, SUV, Đã qua sử dụng, Nhập khẩu, 25.000 km, Tp.HCM, Số tự động, Diesel
848000000,https://oto.com.vn/mua-ban-xe-toyota-fortuner-ha-noi/ban-gap-nam-2018-may-dau-24-4x2-mt-mau-den-day-du-giay-gio-hop-phap-ly-sang-ten-nhanh-gon-aid1xc6990665,7," Toyota Fortuner 2.4 MT 4x2 2018 - 848 triệu
            ", 2018, SUV, Đã qua sử dụng, Trong nước, 62.000 km, Hà Nội, Số tay, Diesel
368000000,https://oto.com.vn/mua-ban-xe-toyota-innova-bac-ninh/can-ban-xe-san-xuat-2015-xe-gia-dinh-gia-chi-368tr-aidxc10751632,8," Toyota Innova 2.0G 2015 - 368 triệu
            ", 2015, MPV, Đã qua sử dụng, Trong nước, 118.000 km, Bắc Ninh, Số tay, Xăng
435000000,https://oto.com.vn/mua-ban-xe-toyota-yaris-hcm/ban-xe-13-nhap-thai-so-tu-dong-doi-2014-aidxc3061368,5," Toyota Yaris 1.3G 2014 - 435 triệu
            ", 2014, Hatchback, Đã qua sử dụng, Nhập khẩu, 50.000 km, Tp.HCM, Số tự động, Xăng
395000000,https://oto.com.vn/mua-ban-xe-toyota-vios-hcm/ban-xe-e-15mt-mau-bac-so-tay-vo-nhieu-do-tuyet-dep-chay-28000km-aidxc3136115,5," Toyota Vios 1.5E MT 2019 - 395 triệu
            ", 2019, Sedan, Đã qua sử dụng, Trong nước, 28.000 km, Tp.HCM, Số tay, Xăng
273000000,https://oto.com.vn/mua-ban-xe-toyota-vios-binh-duong/can-ban-xe-15e-nam-san-xuat-2010-aidxc3536814,5," Toyota Vios 1.5E MT 2010 - 273 triệu
            ", 2010, Sedan, Đã qua sử dụng, Trong nước, 68.000 km, Bình Dương, Số tay, Xăng
258000000,https://oto.com.vn/mua-ban-xe-toyota-innova-binh-duong/2007-ban-g-mau-ghi-vang-aidxc3475008,7," Toyota Innova 2007 - 258 triệu
            ", 2007, MPV, Đã qua sử dụng, Trong nước, 79.000 km, Bình Dương, Số tay, Xăng
239000000,https://oto.com.vn/mua-ban-xe-toyota-innova-binh-duong/xe-gat-nam-san-xuat-2006-xe-chinh-chu-cuc-dep-aidxc4078002,7," Toyota Innova 2.0G 2006 - 239 triệu
            ", 2006, MPV, Đã qua sử dụng, Trong nước, 118.000 km, Bình Dương, Số tự động, Xăng
535000000,https://oto.com.vn/mua-ban-xe-toyota-avanza-ha-noi/ban-xe-15-at-san-xuat-2020-nhap-khau-bien-aidxc10726697,7," Toyota Avanza 1.5 AT 2020 - 535 triệu
            ", 2020, MPV, Đã qua sử dụng, Nhập khẩu, 14.000 km, Hà Nội, Số tự động, Xăng
325000000,https://oto.com.vn/mua-ban-xe-toyota-innova-hai-phong/can-ban-gap-20e-doi-2013-chu-nu-su-dung-con-nguyen-1-nam-bao-hiem-than-vo-4-lop-moi-thay-1-thang-aidxc6643844,7," Toyota Innova 2.0E 2013 - 325 triệu
            ", 2013, MPV, Đã qua sử dụng, Trong nước, 14.056 km, Hải Phòng, Số tay, Xăng
488000000,https://oto.com.vn/mua-ban-xe-toyota-innova-bac-ninh/xe-20e-nam-2018-aidxc7218100,7," Toyota Innova 2.0E 2018 - 488 triệu
            ", 2018, MPV, Đã qua sử dụng, Trong nước, 84.000 km, Bắc Ninh, Số tay, Xăng
585000000,https://oto.com.vn/mua-ban-xe-toyota-camry-hcm/can-ban-at-san-xuat-nam-2014-mau-den-gia-canh-tranh-aid1xc3469185,5," Toyota Camry 2.0E 2014 - 585 triệu
            ", 2014, Sedan, Đã qua sử dụng, Trong nước, 75.000 km, Tp.HCM, Số tự động, Xăng
389000000,https://oto.com.vn/mua-ban-xe-toyota-vios-hcm/can-ban-xe-15e-mt-nam-san-xuat-2020-gia-tot-giao-xe-ngay-day-du-giay-to-aidxc7137129,5," Toyota Vios 1.5E MT 2020 - 389 triệu
            ", 2020, Sedan, Đã qua sử dụng, Trong nước, 65.047 km, Tp.HCM, Số tay, Xăng
555000000,https://oto.com.vn/mua-ban-xe-toyota-corolla-altis-ha-noi/ban-20v-nam-san-xuat-2014-mau-den-aid1xc3479899,5," Toyota Corolla Altis 2.0V  2014 - 555 triệu
            ", 2014, Sedan, Đã qua sử dụng, Trong nước, 79.000 km, Hà Nội, Số tự động, Xăng
805000000,https://oto.com.vn/mua-ban-xe-toyota-camry-ha-noi/ban-nhanh-20e-at-xe-dep-nguyen-ban-aidxc7120545,5," Toyota Camry 2.0E 2018 - 805 triệu
            ", 2018, Sedan, Đã qua sử dụng, Trong nước, 42.000 km, Hà Nội, Số tự động, Xăng
848000000,https://oto.com.vn/mua-ban-xe-toyota-fortuner-ha-noi/rinh-ngay-xe-cung-27-4x2-at-nam-2017-mau-den-voi-uu-dai-khung-truoc-tet-nguyen-dan-aid1xc9212048,7,"
                Toyota Fortuner 2.7 4X2AT* 2017 - 848 triệu
            ", 2017, SUV, Đã qua sử dụng, Trong nước, 71.000 km,"
Hà Nội", Số tự động, Xăng
565000000,https://oto.com.vn/mua-ban-xe-toyota-fortuner-ha-noi/xe-27v-4x2-at-sx-2014-mau-bac-nam-san-xuat-2014-gia-tot-aidxc10044621,5," Toyota Fortuner 2.7 V 4X2 AT 2014 - 565 triệu
            ", 2014, SUV, Đã qua sử dụng, Trong nước, 65.000 km, Hà Nội, Số tự động, Xăng
280000000,https://oto.com.vn/mua-ban-xe-toyota-vios-ha-noi/ban-xe-bien-thanh-hoa-dang-ky-2012-mau-den-so-san-xe-cong-chuc-nha-nuoc-di-40000-km-aidxc10038216,5," Toyota Vios 1.5E MT 2012 - 280 triệu
            ", 2012, Sedan, Đã qua sử dụng, Trong nước, 40.000 km, Hà Nội, Số tay, Xăng
280000000,https://oto.com.vn/mua-ban-xe-toyota-vios-ha-noi/ban-xe-doi-2015-xe-gia-dinh-gia-tot-280tr-giay-to-day-du-aidxc7067774,5," Toyota Vios 1.5E MT 2015 - 280 triệu
            ", 2015, Sedan, Đã qua sử dụng, Trong nước, 8.000 km, Hà Nội, Số tay, Xăng
355000000,https://oto.com.vn/mua-ban-xe-toyota-vios-ha-noi/can-ban-dang-ky-lan-dau-2018-it-su-dung-gia-tot-355tr-aidxc7064632,5," Toyota Vios 1.5 E CVT 2018 - 355 triệu
            ", 2018, Sedan, Đã qua sử dụng, Trong nước, 8.000 km, Hà Nội, Số tự động, Xăng
1040000000,https://oto.com.vn/mua-ban-xe-toyota-fortuner-hcm/can-ban-xe-ca-nhan-24-at-dau-2021-di-25900-km-xe-cu-chinh-hang-aidxc9055866,7," Toyota Fortuner 2.4G 4x2 AT  2021 - 1 tỉ 040 triệu
            ", 2021, SUV, Đã qua sử dụng, Trong nước, 25.900 km, Tp.HCM, Số tự động, Diesel
230000000,https://oto.com.vn/mua-ban-xe-toyota-innova-hcm/ban-2006-xe-gia-dinh-gia-chi-230tr-aidxc9995842,8," Toyota Innova 2.0G 2006 - 230 triệu
            ", 2006, MPV, Đã qua sử dụng, Trong nước, 150.000 km, Tp.HCM, Số tay, Xăng
150000000,https://oto.com.vn/mua-ban-xe-toyota-vios-lam-dong/can-ban-xe-limo-nam-2007-aidxc9970959,5," Toyota Vios Limo 2007 - 150 triệu
            ", 2007, Sedan, Đã qua sử dụng, Trong nước, 180 km, Lâm Đồng, Số tay, Xăng
166000000,https://oto.com.vn/mua-ban-xe-toyota-vios-bac-ninh/mot-chu-di-tu-dau-can-ban-xe-15g-nam-2005-gia-tot-nhat-du-cam-bien-dep-aidxc9967698,5," Toyota Vios 1.5G AT 2005 - 166 triệu
            ", 2005, Sedan, Đã qua sử dụng, Trong nước, 60.000 km, Bắc Ninh, Số tự động, Xăng
168000000,https://oto.com.vn/mua-ban-xe-toyota-camry-bac-ninh/ban-o-to-grande-30-v6-nam-2002-xe-cap-ta-quan-doi-gia-168tr-aidxc9966268,5," Toyota Camry 3.0V 2002 - 168 triệu
            ", 2002, Sedan, Đã qua sử dụng, Trong nước, 200.000 km, Bắc Ninh, Số tự động, Xăng
298000000,https://oto.com.vn/mua-ban-xe-toyota-yaris-ha-noi/ban-o-to-13at-dang-ky-lan-dau-2009-con-moi-gia-298tr-aidxc3453607,5," Toyota Yaris E 1.3 AT 2009 - 298 triệu
            ", 2009, Hatchback, Đã qua sử dụng, Nhập khẩu, 100.000 km, Hà Nội, Số tự động, Xăng
350000000,https://oto.com.vn/mua-ban-xe-toyota-vios-ha-noi/auto-trung-son-chao-ban-chiec-xe-san-xuat-2016-hop-so-san-mau-bac-aidxc6192654,5," Toyota Vios 1.5E MT 2016 - 350 triệu
            ", 2016, Sedan, Đã qua sử dụng, Trong nước, 66.000 km, Hà Nội, Số tay, Xăng
455000000,https://oto.com.vn/mua-ban-xe-toyota-vios-ha-noi/can-ban-xe-e-15mt-dang-ky-lan-dau-2021-xe-gia-dinh-gia-tot-455tr-aidxc8061065,5," Toyota Vios 1.5E MT 2021 - 455 triệu
            ", 2021, Sedan, Đã qua sử dụng, Trong nước, 11.000 km, Hà Nội, Số tay, Xăng
375000000,https://oto.com.vn/mua-ban-xe-toyota-camry-dak-lak/ban-24g-nam-san-xuat-2007-gia-tot-aidxc3435427,5," Toyota Camry 2.4G 2007 - 375 triệu
            ", 2007, Sedan, Đã qua sử dụng, Trong nước, 150.000 km, Đắk Lắk, Số tự động, Xăng
469000000,https://oto.com.vn/mua-ban-xe-toyota-vios-ha-noi/xe-e-ctv-2019-aidxc3467907,5," Toyota Vios 2019 - 469 triệu
            ", 2019, Sedan, Đã qua sử dụng, Trong nước, 45.000 km, Hà Nội, Số tự động, Xăng
4480000000,https://oto.com.vn/mua-ban-xe-toyota-land-cruiser-ha-noi/qcs-auto-68-duong-dinh-nghe-chao-ban-vx-46-model-2020-aidxc9055806,7," Toyota Land Cruiser VX 4.6 V8 2019 - 4 tỉ 480 triệu
            ", 2019, SUV, Đã qua sử dụng, Nhập khẩu, 22.000 km, Hà Nội, Số tự động, Xăng
2380000000,https://oto.com.vn/mua-ban-xe-toyota-land-cruiser-ha-noi/can-ban-gap-vx-nam-2013-dong-co-v8-46l-nhap-khau-nhat-ban-bien-vip-aidxc3303827,7," Toyota Land Cruiser VX 4.6 V8 2013 - 2 tỉ 380 triệu
            ", 2013, SUV, Đã qua sử dụng, Nhập khẩu, 70.000 km, Hà Nội, Số tự động, Xăng
282000000,https://oto.com.vn/mua-ban-xe-toyota-innova-ha-noi/g-2009-cuc-dep-aidxc6990730,8," Toyota Innova 2.0G 2009 - 282 triệu
            ", 2009, MPV, Đã qua sử dụng, Trong nước, 150.000 km, Hà Nội, Số tay, Xăng
848000000,https://oto.com.vn/mua-ban-xe-toyota-fortuner-hcm/ban-27-at-nam-2017-may-xang-nhap-khau-indoniesia-mau-nau-dam-giay-to-day-du-hop-phap-ly-aid1xc7106645,7," Toyota Fortuner 2.7 V 4X2 AT 2017 - 848 triệu
            ", 2017, SUV, Đã qua sử dụng, Nhập khẩu, 100.000 km, Tp.HCM, Số tự động, Xăng
786000000,https://oto.com.vn/mua-ban-xe-toyota-camry-hcm/ban-25q-nam-2015-mau-den-bien-ha-noi-dan-lop-moi-van-day-aid1xc7110286,5," Toyota Camry 2.5Q 2015 - 786 triệu
            ", 2015, Sedan, Đã qua sử dụng, Trong nước, 100.000 km, Tp.HCM, Số tự động, Xăng
240000000,https://oto.com.vn/mua-ban-xe-toyota-innova-binh-duong/gia-dinh-ban-20g-nam-san-xuat-2007-mau-bac-may-xin-bao-test-co-thuong-luong-aidxc7985316,7," Toyota Innova 2.0G 2007 - 240 triệu
            ", 2007, MPV, Đã qua sử dụng, Trong nước, 168.000 km, Bình Dương, Số tay, Xăng
265000000,https://oto.com.vn/mua-ban-xe-toyota-innova-binh-duong/ban-g-doi-2009-mau-bac-rat-moi-xe-tot-thien-chi-thuong-luong-aidxc7975167,7," Toyota Innova 2.0G 2009 - 265 triệu
            ", 2009, MPV, Đã qua sử dụng, Trong nước, 168.000 km, Bình Dương, Số tay, Xăng
395000000,https://oto.com.vn/mua-ban-xe-toyota-innova-hcm/sieu-cop-model-2011-aidxc3449293,7," Toyota Innova 2.0G 2010 - 395 triệu
            ", 2010, MPV, Đã qua sử dụng, Trong nước, 45.000 km, Tp.HCM, Số tay, Xăng
470000000,https://oto.com.vn/mua-ban-xe-toyota-camry-vinh-phuc/24-g-sx-2010-xe-gia-dinh-su-dung-aidxc9469292,5," Toyota Camry 2.4G 2010 - 470 triệu
            ", 2010, Sedan, Đã qua sử dụng, Trong nước, 120.000 km, Vĩnh Phúc, Số tự động, Xăng
470000000,https://oto.com.vn/mua-ban-xe-toyota-camry-vinh-phuc/can-ban-gap-doi-2010-it-su-dung-gia-chi-470tr-aidxc9476132,5," Toyota Camry 2.4G 2010 - 470 triệu
            ", 2010, Sedan, Đã qua sử dụng, Trong nước, 110.000 km, Vĩnh Phúc, Số tự động, Xăng
450000000,https://oto.com.vn/mua-ban-xe-toyota-camry-vinh-phuc/24-g-sx-2009-xe-gia-dinh-su-dung-aidxc5561624,5," Toyota Camry 2.4G 2009 - 450 triệu
            ", 2009, Sedan, Đã qua sử dụng, Trong nước, 150.000 km, Vĩnh Phúc, Số tự động, Xăng
190000000,https://oto.com.vn/mua-ban-xe-toyota-zace-vinh-phuc/gl-moi-nhat-viet-nam-aidxc3463614,5," Toyota Zace 2005 - 190 triệu
            ", 2005, SUV, Đã qua sử dụng, Trong nước, 140.000 km, Vĩnh Phúc, Số tay, Xăng
468000000,https://oto.com.vn/mua-ban-xe-toyota-innova-hcm/xe-nam-2017-con-moi-gia-chi-468tr-aidxc6984933,8," Toyota Innova 2.0E 2017 - 468 triệu
            ", 2017, MPV, Đã qua sử dụng, Trong nước, 81.000 km, Tp.HCM, Số tay, Xăng
1480000000,https://oto.com.vn/mua-ban-xe-toyota-prado-ha-noi/ban-dang-ky-lan-dau-2014-xe-nhap-gia-tot-1-ty-480tr-aidxc11249183,7," Toyota Prado TXL 2.7L 2014 - 1 tỉ 480 triệu
            ", 2014, SUV, Đã qua sử dụng, Nhập khẩu, 86.000 km, Hà Nội, Số tự động, Xăng
117000000,https://oto.com.vn/mua-ban-xe-toyota-zace-ha-noi/ban-xe-gl-dang-ky-2001-it-su-dung-gia-tot-117tr-aidxc8800608,7," Toyota Zace 2001 - 117 triệu
            ", 2001, SUV, Đã qua sử dụng, Trong nước, 296.899 km, Hà Nội, Số tay, Xăng
535000000,https://oto.com.vn/mua-ban-xe-toyota-corolla-altis-vinh-phuc/18-at-san-xuat-2014-xe-cuc-dep-bien-ha-noi-odo-65000-km-aidxc9250200,5," Toyota Corolla Altis 1.8AT 2015 - 535 triệu
            ", 2015, Sedan, Đã qua sử dụng, Trong nước, 65.000 km, Vĩnh Phúc, Số tự động, Xăng
320000000,https://oto.com.vn/mua-ban-xe-toyota-vios-binh-duong/xe-15e-mt-2017-mau-trang-so-san-gia-320tr-aidxc11034216,5," Toyota Vios 1.5E MT 2017 - 320 triệu
            ", 2017, Sedan, Đã qua sử dụng, Trong nước, 87.000 km, Bình Dương, Số tay, Xăng
490000000,https://oto.com.vn/mua-ban-xe-toyota-fortuner-ha-noi/ban-xe-o-to-dau-25-4x2-mt-nam-2011-mau-bac-gia-canh-tranh-bao-check-test-hang-thoai-mai-aid1xc11042526,7," Toyota Fortuner 2.5G 4x2MT 2011 - 490 triệu
            ", 2011, SUV, Đã qua sử dụng, Trong nước, 109.000 km, Hà Nội, Số tay, Xăng
980000000,https://oto.com.vn/mua-ban-xe-toyota-camry-ha-noi/can-ban-xe-20g-mau-den-nam-san-xuat-2020-xe-sieu-moi-sieu-luot-gia-sieu-tot-aid1xc9055819,5," Toyota Camry 2.0G 2020 - 980 triệu
            ", 2020, Sedan, Đã qua sử dụng, Trong nước, 18.000 km, Hà Nội, Số tự động, Diesel
755000000,https://oto.com.vn/mua-ban-xe-toyota-hilux-ha-noi/ban-xe-dau-28-4x4-at-mau-bac-nam-san-xuat-2017-day-du-giay-to-sang-ten-nhanh-gon-aid1xc9055817,5," Toyota Hilux 2.8G 4×4 AT 2017 - 755 triệu
            ", 2017, Pick-up Truck, Đã qua sử dụng, Nhập khẩu, 7.000 km, Hà Nội, Số tự động, Diesel
380000000,https://oto.com.vn/mua-ban-xe-toyota-innova-ha-noi/ban-xe-20e-mt-nam-san-xuat-2014-mau-bac-gia-uu-dai-cho-anh-em-nhanh-chan-don-tet-aid1xc9055807,7," Toyota Innova 2.0E 2014 - 380 triệu
            ", 2014, MPV, Đã qua sử dụng, Trong nước, 91.000 km, Hà Nội, Số tự động, Xăng
665000000,https://oto.com.vn/mua-ban-xe-toyota-fortuner-ha-noi/ban-xe-cho-anh-em-rinh-ve-don-tet-sang-sin-27-sportivo-4x2-at-mau-trang-xe-dep-day-du-giay-to-sang-ten-nhanh-gon-aid1xc9055801,7," Toyota Fortuner 2.7 4X2AT* 2015 - 665 triệu
            ", 2015, SUV, Đã qua sử dụng, Trong nước, 68.000 km, Hà Nội, Số tự động, Xăng
848000000,https://oto.com.vn/mua-ban-xe-toyota-fortuner-ha-noi/ban-xe-27-4x2-at-nam-2017-mau-den-dong-co-hop-so-nguyen-ban-chesk-test-thoai-mai-aid1xc10773789,7," Toyota Fortuner 2.7 V 4X2 AT 2017 - 848 triệu
            ", 2017, SUV, Đã qua sử dụng, Trong nước, 49.000 km, Hà Nội, Số tự động, Xăng
450000000,https://oto.com.vn/mua-ban-xe-toyota-fortuner-ha-noi/tau-xe-don-tet-gia-sieu-uu-dai-fotuner-25g-mt-may-dau-nam-2009-xe-chay-cuu-it-nguyen-ban-tuyet-doi-aid1xc9055680,7," Toyota Fortuner 2.5G 4x2MT 2009 - 450 triệu
            ", 2009, SUV, Đã qua sử dụng, Trong nước, 8.000 km, Hà Nội, Số tay, Diesel
