price,source_url,seats,name,year,typeOfCar,condition,origin,km_driven,city,transmission,fuels
1040000000,https://oto.com.vn/mua-ban-xe-toyota-fortuner-hcm/ban-24g-4x2at-san-xuat-2021-mau-den-aidxc9062146,7," Toyota Fortuner 2.4G 4x2 AT  2021 - 1 tỉ 040 triệu
            ", 2021, SUV, Đã qua sử dụng, Trong nước, 25.900 km, Tp.HCM, Số tự động, Diesel
579000000,https://oto.com.vn/mua-ban-xe-toyota-innova-hcm/can-ban-xe-20e-san-xuat-2019-mau-bac-gia-579tr-aidxc9062276,8," Toyota Innova 2.0E 2019 - 579 triệu
            ", 2019, MPV, Đã qua sử dụng, Trong nước, 34.000 km, Tp.HCM, Số tay, Xăng
575000000,https://oto.com.vn/mua-ban-xe-toyota-corolla-altis-hcm/ban-18at-san-xuat-2016-mau-den-aidxc9760730,5," Toyota Corolla Altis 1.8G AT 2016 - 575 triệu
            ", 2016, Sedan, Đã qua sử dụng, Trong nước, 40.000 km, Tp.HCM, Số tự động, Xăng
332000000,https://oto.com.vn/mua-ban-xe-toyota-innova-hcm/ban-20e-nam-2015-con-moi-aidxc9064601,7," Toyota Innova 2.0E 2015 - 332 triệu
            ", 2015, MPV, Đã qua sử dụng, Trong nước, 97.000 km, Tp.HCM, Số tay, Xăng
895000000,https://oto.com.vn/mua-ban-xe-toyota-fortuner-hcm/can-ban-lai-xe-24g-4x2at-san-xuat-nam-2019-gia-895tr-aidxc8792674,7," Toyota Fortuner 2.4G 4x2 AT  2019 - 895 triệu
            ", 2019, SUV, Đã qua sử dụng, Trong nước, 80.000 km, Tp.HCM, Số tự động, Diesel
365000000,https://oto.com.vn/mua-ban-xe-toyota-vios-ha-noi/ban-o-to-15g-at-nam-san-xuat-2014-gia-chi-365-trieu-aidxc8798648,5," Toyota Vios 1.5G AT 2014 - 365 triệu
            ", 2014, Sedan, Đã qua sử dụng, Trong nước, 80.115 km, Hà Nội, Số tự động, Xăng
450000000,https://oto.com.vn/mua-ban-xe-toyota-vios-ha-noi/ban-15g-at-san-xuat-nam-2017-gia-canh-tranh-aidxc8804445,5," Toyota Vios 1.5G AT 2017 - 450 triệu
            ", 2017, Sedan, Đã qua sử dụng, Trong nước, 50.115 km, Hà Nội, Số tự động, Xăng
860000000,https://oto.com.vn/mua-ban-xe-toyota-land-cruiser-prado-ha-noi/ban-xe-txl-san-xuat-2009-mau-vang-nhap-khau-nguyen-chiec-aidxc8804479,7," Toyota Land Cruiser Prado TLX 2009 - 860 triệu
            ", 2009, SUV, Đã qua sử dụng, Nhập khẩu, 126.000 km, Hà Nội, Số tự động, Xăng
630000000,https://oto.com.vn/mua-ban-xe-toyota-fortuner-binh-duong/ban-27at-san-xuat-2016-mau-bac-aidxc9066406,7," Toyota Fortuner 2.7 V 4X2 AT 2016 - 630 triệu
            ", 2016, SUV, Đã qua sử dụng, Trong nước, 80.000 km, Bình Dương, Số tự động, Xăng
380000000,https://oto.com.vn/mua-ban-xe-toyota-vios-dak-lak/can-ban-e-nam-san-xuat-2016-con-moi-380-trieu-aidxc9066363,5," Toyota Vios 1.5 E CVT 2016 - 380 triệu
            ", 2016, Sedan, Đã qua sử dụng, Trong nước, 83.000 km, Đắk Lắk, Số tự động, Xăng
300000000,https://oto.com.vn/mua-ban-xe-toyota-innova-thua-thien-hue/ban-o-to-20j-nam-2016-mau-trang-aidxc9066276,8," Toyota Innova 2.0J 2016 - 300 triệu
            ", 2016, MPV, Đã qua sử dụng, Trong nước, 12.000 km, Thừa Thiên Huế, Số tay, Xăng
160000000,https://oto.com.vn/mua-ban-xe-toyota-vios-ninh-binh/ban-xe-15e-mt-san-xuat-2010-mau-vang-gia-160tr-aidxc8816052,5," Toyota Vios 1.5E MT 2010 - 160 triệu
            ", 2010, Sedan, Đã qua sử dụng, Trong nước, 200.000 km, Ninh Bình, Số tay, Xăng
570000000,https://oto.com.vn/mua-ban-xe-toyota-fortuner-hcm/ban-27-at-nam-2014-mau-den-nhap-khau-xe-gia-dinh-aidxc9066243,7," Toyota Fortuner 2.7 4X2AT* 2014 - 570 triệu
            ", 2014, SUV, Đã qua sử dụng, Nhập khẩu, 74.000 km, Tp.HCM, Số tự động, Xăng
520000000,https://oto.com.vn/mua-ban-xe-toyota-corolla-altis-ha-noi/can-ban-xe-18at-nam-2014-mau-bac-gia-tot-aidxc8821797,5," Toyota Corolla Altis 1.8AT 2014 - 520 triệu
            ", 2014, Sedan, Đã qua sử dụng, Trong nước, 62.000 km, Hà Nội, Số tự động, Xăng
857000000,https://oto.com.vn/mua-ban-xe-toyota-fortuner-ha-noi/ban-xe-24g-mt-nam-san-xuat-2020-so-san-gia-canh-tranh-aidxc9066186,7," Toyota Fortuner 2.4 MT 4x2 2020 - 857 triệu
            ", 2020, SUV, Đã qua sử dụng, Trong nước, 25.000 km, Hà Nội, Số tay, Diesel
425000000,https://oto.com.vn/mua-ban-xe-toyota-fortuner-ha-nam/ban-27v-4x4at-san-xuat-nam-2010-mau-den-aidxc8833857,7," Toyota Fortuner 2.7 V 4X4 AT 2010 - 425 triệu
            ", 2010, SUV, Đã qua sử dụng, Trong nước, 13.000 km, Hà Nam, Số tự động, Xăng
935000000,https://oto.com.vn/mua-ban-xe-toyota-innova-binh-duong/can-ban-mt-nam-san-xuat-2020-mau-trang-so-san-935-trieu-aidxc9066157,8," Toyota Innova 2.0E 2020 - 935 triệu
            ", 2020, MPV, Đã qua sử dụng, Trong nước, 45.000 km, Bình Dương, Số tay, Diesel
850000000,https://oto.com.vn/mua-ban-xe-toyota-fortuner-can-tho/can-ban-gap-g-nam-san-xuat-2018-mau-xam-nhap-khau-nguyen-chiec-aidxc9068801,7," Toyota Fortuner 2.5G 4x2MT 2018 - 850 triệu
            ", 2018, SUV, Đã qua sử dụng, Nhập khẩu, 44.000 km, Cần Thơ, Số tay, Diesel
637000000,https://oto.com.vn/mua-ban-xe-toyota-fortuner-hcm/can-ban-lai-xe-25g-mt-san-xuat-nam-2016-mau-trang-aidxc9780538,7," Toyota Fortuner 2.5G 4x2MT 2016 - 637 triệu
            ", 2016, SUV, Đã qua sử dụng, Trong nước, 99.150 km, Tp.HCM, Số tay, Diesel
880000000,https://oto.com.vn/mua-ban-xe-toyota-fortuner-ha-noi/ban-o-to-24l-mt-4x2-san-xuat-nam-2020-mau-nau-gia-canh-tranh-aidxc8863358,7," Toyota Fortuner 2.4 MT 4x2 2020 - 880 triệu
            ", 2020, SUV, Đã qua sử dụng, Trong nước, 16.000 km, Hà Nội, Số tay, Diesel
