name,brand,source_url,type,origin,km_driven,external_color,seats,engine_capacity,fuels,transmission,wheel_drive,price,year
Ford Everest,,https://www.sanxehot.vn/mua-ban-xe/ford-everest-25at-2014-24806.html,SUV 7 chỗ,Lắp ráp trong nước,52000,Đen,,2.5,Diesel,Tự động,,755000000,2014
Ford Everest,,https://www.sanxehot.vn/mua-ban-xe/ford-everest-25mt-2006-24805.html,SUV 7 chỗ,Lắp ráp trong nước,110000,Bạc,,2.5,Diesel,Số sàn,,325000000,2006
,,https://www.sanxehot.vn/mua-ban-xe/madza-323-classic-16mt-2002-24800.html,Sedan,Lắp ráp trong nước,115000,Đen,,1.6,Xăng,Số sàn,,220000000, 2002
Mazda 3,,https://www.sanxehot.vn/mua-ban-xe/mazda-3-16at-2010-24799.html,Hatchback,Nhập khẩu,73000,Đỏ,,1.6,Xăng,Tự động,,485000000,2010
Mazda BT-50,,https://www.sanxehot.vn/mua-ban-xe/mazda-bt50-22at-2015-24798.html,Bán tải,Nhập khẩu,22000,Xanh da trời,,2.2,Diesel,Tự động,,675000000,2015
Mazda 3,,https://www.sanxehot.vn/mua-ban-xe/mazda-3-15at-2015-24797.html,Hatchback,Lắp ráp trong nước,27000,Trắng,,1.5,Xăng,Tự động,,679000000, 2015
Mazda Premacy,,https://www.sanxehot.vn/mua-ban-xe/mazda-premacy-18at-2003-24796.html,7 chỗ đa dụng,Lắp ráp trong nước,105000,Xanh da trời,,1.8,Xăng,Tự động,,255000000, 2003
Mazda CX-9,,https://www.sanxehot.vn/mua-ban-xe/mazda-cx9-37at-2015-24795.html,SUV 7 chỗ,Nhập khẩu,17000,Bạc,,3.7,Xăng,Tự động,,1620000000,2015
Mazda CX-5,,https://www.sanxehot.vn/mua-ban-xe/mazda-cx-5-25at-awd-2016-24794.html,SUV 5 chỗ,Lắp ráp trong nước,3000,Trắng,,2.5,Xăng,Tự động,,981000000,2016
Mazda 3,,https://www.sanxehot.vn/mua-ban-xe/mazda-3-15at-2015-24793.html,Hatchback,Lắp ráp trong nước,17000,Xanh da trời,,1.5,Xăng,Tự động,,679000000,2015
Mazda CX-5,,https://www.sanxehot.vn/mua-ban-xe/mazda-cx-5-20at-2017-24791.html,SUV 5 chỗ,Lắp ráp trong nước,3000,Trắng,,2.0,Xăng,Tự động,,879000000, 2017
Kia Cerato,,https://www.sanxehot.vn/mua-ban-xe/kia-cerato-16at-2010-24790.html,Sedan,Nhập khẩu,70000,Đen,,1.6,Xăng,Tự động,,425000000,2010
Kia Cerato,,https://www.sanxehot.vn/mua-ban-xe/kia-cerato-16at-2010-24789.html,Sedan,Nhập khẩu,70000,Đỏ,,1.6,Xăng,Tự động,,490000000,2010
Kia Cerato,,https://www.sanxehot.vn/mua-ban-xe/kia-cerato-16at-2011-24788.html,Sedan,Nhập khẩu,56000,Bạc,,1.6,Xăng,Tự động,,505000000,2011
Kia Forte,,https://www.sanxehot.vn/mua-ban-xe/kia-forte-16at-2011-24787.html,Sedan,Nhập khẩu,51000,Ghi xám,,1.6,Xăng,Tự động,,435000000,2011
Kia Morning,,https://www.sanxehot.vn/mua-ban-xe/kia-morning-van-10at-2013-24785.html,Hatchback,Lắp ráp trong nước,28000,Xanh da trời,,1.0,Xăng,Tự động,,276000000,2013
BMW Series 3,,https://www.sanxehot.vn/mua-ban-xe/bmw-320i-20at-2016-24782.html,Sedan,Lắp ráp trong nước,7000,Trắng,,2.0,Xăng,Tự động,,1350000000,2016
Chevrolet Captiva,,https://www.sanxehot.vn/mua-ban-xe/chevrolet-captiva-lt-24mt-2008-24778.html,SUV 7 chỗ,Lắp ráp trong nước,60000,Bạc,,2.4,Xăng,Số sàn,,375000000,2008
Kia Morning,,https://www.sanxehot.vn/mua-ban-xe/kia-morning-10at-2010-24776.html,Hatchback,Lắp ráp trong nước,20000,Bạc,,1.0,Xăng,Tự động,,179000000,2010
Mercedes-Benz GLK-class,,https://www.sanxehot.vn/mua-ban-xe/mercedes-benz-glk250-20at-2014-24770.html,SUV 5 chỗ,Lắp ráp trong nước,32000,Xanh Dương,,2.0,Xăng,Tự động,,1400000000,2014
Lexus RX,,https://www.sanxehot.vn/mua-ban-xe/lexus-rx-350-35at-2010-24768.html,SUV 7 chỗ,Lắp ráp trong nước,66000,Trắng,,3.5,Xăng,Tự động,,2150000000,2010
Toyota Yaris,,https://www.sanxehot.vn/mua-ban-xe/toyota-yaris-e-13at-2015-24767.html,Hatchback,Lắp ráp trong nước,12000,Trắng,,1.3,Xăng,Tự động,,570000000,2014
Lexus GX,,https://www.sanxehot.vn/mua-ban-xe/lexus-gx460-46at-2011-24765.html,SUV 7 chỗ,Nhập khẩu,80000,Đen,,4.6,Xăng,Tự động,,2960000000,2010
Toyota Altis,,https://www.sanxehot.vn/mua-ban-xe/toyota-corolla-altis-18mt-2014-24763.html,Sedan,Lắp ráp trong nước,33000,Tím nhạt,,1.8,Xăng,Số sàn,,695000000,2013
Mercedes-Benz C-class,,https://www.sanxehot.vn/mua-ban-xe/mercedes-benz-c-class-c200-18at-2011-24760.html,Sedan,Lắp ráp trong nước,60000,Trắng,,1.8,Xăng,Tự động,,855000000,2011
Audi Q5,,https://www.sanxehot.vn/mua-ban-xe/audi-q5-20at-2012-24759.html,SUV 5 chỗ,Nhập khẩu,50000,Đen,,2.0,Xăng,Tự động,,1650000000,2012
Chevrolet Spark,,https://www.sanxehot.vn/mua-ban-xe/chevrolet-spark-12mt-2010-24757.html,Hatchback,Lắp ráp trong nước,90000,Trắng,,1.2,Xăng,Số sàn,,140000000,2010
Chevrolet Spark,,https://www.sanxehot.vn/mua-ban-xe/chevrolet-spark-ltz-10at-2015-24758.html,Hatchback,Lắp ráp trong nước,30000,Đỏ,,1.0,Xăng,Tự động,,317000000,2015
Chevrolet Captiva,,https://www.sanxehot.vn/mua-ban-xe/chevrolet-captiva-ltz-24at-2008-24756.html,SUV 7 chỗ,Lắp ráp trong nước,50000,Bạc,,2.4,Xăng,Tự động,,395000000,2008
Chevrolet Captiva,,https://www.sanxehot.vn/mua-ban-xe/chevrolet-captiva-lt-24mt-2007-24755.html,SUV 7 chỗ,Lắp ráp trong nước,68000,Bạc,,2.4,Xăng,Số sàn,,368000000,2007
Chevrolet Cruze  ,,https://www.sanxehot.vn/mua-ban-xe/chevrolet-cruze-16mt-2014-24754.html,Sedan,Lắp ráp trong nước,17000,Đen,,1.6,Xăng,Số sàn,,440000000,2014
Chevrolet Captiva,,https://www.sanxehot.vn/mua-ban-xe/chevrolet-captiva-lt-24mt-2009-24753.html,SUV 7 chỗ,Lắp ráp trong nước,70000,Đen,,2.4,Diesel,Số sàn,,425000000,2009
Chevrolet Captiva,,https://www.sanxehot.vn/mua-ban-xe/chevrolet-captiva-ltz-24at-2010-24752.html,SUV 7 chỗ,Lắp ráp trong nước,48000,Bạc,,2.4,Xăng,Tự động,,495000000,2010
Chevrolet Cruze  ,,https://www.sanxehot.vn/mua-ban-xe/chevrolet-cruze-ltz-18at-2015-24751.html,Sedan,Lắp ráp trong nước,10000,Bạc,,1.8,Xăng,Tự động,,608000000,2015
Chevrolet Captiva,,https://www.sanxehot.vn/mua-ban-xe/chevrolet-captiva-ltz-24at-2014-24750.html,SUV 7 chỗ,Lắp ráp trong nước,40000,Đen,,2.4,Xăng,Tự động,,645000000,2014
Chevrolet Colorado,,https://www.sanxehot.vn/mua-ban-xe/chevrolet-colorado-25mt-2015-24749.html,Bán tải,Nhập khẩu,18000,Ghi xám,,2.5,Diesel,Số sàn,,520000000,2015
Chevrolet Spark,,https://www.sanxehot.vn/mua-ban-xe/chevrolet-spark-ltz-10at-2015-24747.html,Hatchback,Lắp ráp trong nước,18000,Trắng,,1.0,Xăng,Tự động,,338000000,2015
Chevrolet Cruze  ,,https://www.sanxehot.vn/mua-ban-xe/chevrolet-cruze-lt-16mt-2016-24746.html,Sedan,Lắp ráp trong nước,17000,Trắng,,1.6,Xăng,Số sàn,,525000000,2016
Chevrolet Cruze  ,,https://www.sanxehot.vn/mua-ban-xe/chevrolet-cruze-lt-16mt-2016-24745.html,Sedan,Lắp ráp trong nước,7000,Vàng cát,,1.6,Xăng,Số sàn,,509000000,2016
Chevrolet Cruze  ,,https://www.sanxehot.vn/mua-ban-xe/chevrolet-cruze-ltz-18at-2014-24744.html,Sedan,Lắp ráp trong nước,26000,Đen,,1.8,Xăng,Tự động,,495000000,2014
Nissan Teana,,https://www.sanxehot.vn/mua-ban-xe/nissan-teana-20at-2010-24576.html,Sedan,Nhập khẩu,35000,Đen,,2.0,Xăng,Tự động,,650000000,2010
Nissan Navara,,https://www.sanxehot.vn/mua-ban-xe/nissan-navara-25mt-2013-24591.html,Bán tải,Nhập khẩu,50000,Ghi xám,,2.5,Diesel,Số sàn,,470000000,2013
Nissan Navara,,https://www.sanxehot.vn/mua-ban-xe/nissan-navara-le-25mt-2013-24672.html,Bán tải,Nhập khẩu,30000,Bạc,,2.5,Diesel,Số sàn,,135000000,2013
Mazda 2,,https://www.sanxehot.vn/mua-ban-xe/mazda-2-s-15at-2014-24683.html,Hatchback,Nhập khẩu,27000,Ghi xám,,1.5,Xăng,Tự động,,485000000,2014
Mazda CX-5,,https://www.sanxehot.vn/mua-ban-xe/mazda-cx5-20at-2015-24690.html,SUV 5 chỗ,Nhập khẩu,30000,Đỏ đô,,2.0,Xăng,Tự động,,850000000,2015
Mazda 3,,https://www.sanxehot.vn/mua-ban-xe/mazda-3s-16at-2014-24691.html,Sedan,Lắp ráp trong nước,20000,Trắng,,1.6,Xăng,Tự động,,610000000,2014
Mazda CX-5,,https://www.sanxehot.vn/mua-ban-xe/mazda-cx5-20at-2015-24692.html,SUV 5 chỗ,Lắp ráp trong nước,22000,Đen,,2.0,Xăng,Tự động,,890000000,2015
Chevrolet Cruze  ,,https://www.sanxehot.vn/mua-ban-xe/chevrolet-cruze-ls-16mt-2015-24723.html,Sedan,Lắp ráp trong nước,37000,Vàng cát,,1.6,Xăng,Số sàn,,485000000,2015
Chevrolet Captiva,,https://www.sanxehot.vn/mua-ban-xe/chevrolet-captiva-ltz-24at-2011-24722.html,SUV 7 chỗ,Lắp ráp trong nước,81000,Vàng cát,,2.4,Xăng,Tự động,,515000000,2011
Chevrolet Spark,,https://www.sanxehot.vn/mua-ban-xe/chevrolet-spark-ltz-10at-2015-24721.html,Hatchback,Lắp ráp trong nước,53000,Bạc,,1.0,Xăng,Tự động,,345000000,2015
Chevrolet Cruze  ,,https://www.sanxehot.vn/mua-ban-xe/chevrolet-cruze-lt-16mt-2016-24720.html,Sedan,Lắp ráp trong nước,25000,Trắng,,1.6,Diesel,Số sàn,,539000000,2016
Chevrolet Cruze  ,,https://www.sanxehot.vn/mua-ban-xe/chevrolet-cruze-ltz-18at-2015-24719.html,Sedan,Lắp ráp trong nước,32300,Bạc,,1.8,Xăng,Tự động,,582000000,2015
Chevrolet Spark,,https://www.sanxehot.vn/mua-ban-xe/chevrolet-spark-10at-2009-24718.html,Hatchback,Lắp ráp trong nước,69000,Xanh lá,,1.0,Xăng,Tự động,,239000000,2009
Chevrolet Cruze  ,,https://www.sanxehot.vn/mua-ban-xe/chevrolet-cruze-ltz-18at-2015-24717.html,Sedan,Lắp ráp trong nước,11000,Bạc,,1.8,Xăng,Tự động,,612000000,2015
Chevrolet Cruze  ,,https://www.sanxehot.vn/mua-ban-xe/chevrolet-cruze-ls-16mt-2012-24716.html,Sedan,Lắp ráp trong nước,51000,Vàng cát,,1.6,Xăng,Số sàn,,435000000,2012
Chevrolet Captiva,,https://www.sanxehot.vn/mua-ban-xe/chevrolet-captiva-ltz-24at-2011-24715.html,SUV 7 chỗ,Lắp ráp trong nước,45000,Đen,,2.4,Xăng,Tự động,,515000000,2011
Mazda 3,,https://www.sanxehot.vn/mua-ban-xe/mazda-3s-16at-2014-24714.html,Sedan,Lắp ráp trong nước,28000,Đen,,1.6,Xăng,Tự động,,659000000,2014
Mazda 2,,https://www.sanxehot.vn/mua-ban-xe/mazda-2s-15at-2014-24713.html,Hatchback,Lắp ráp trong nước,11000,Trắng,,1.5,Xăng,Tự động,,528000000,2014
Nissan Grand Livina,,https://www.sanxehot.vn/mua-ban-xe/nissan-grand-livina-18mt-2012-24583.html,7 chỗ đa dụng,Nhập khẩu,30000,Ghi xám,,1.8,Xăng,Số sàn,,425000000,2012
Mazda 3,,https://www.sanxehot.vn/mua-ban-xe/mazda-3s-16at-2014-24712.html,Sedan,Lắp ráp trong nước,20000,Trắng,,1.6,Xăng,Tự động,,669000000,2014
Ford Transit,,https://www.sanxehot.vn/mua-ban-xe/ford-transit-24mt-2015-24711.html,16 chỗ,Lắp ráp trong nước,35000,Bạc,,2.4,Xăng,Số sàn,,750000000,2015
Ford Everest,,https://www.sanxehot.vn/mua-ban-xe/ford-everest-25mt-2008-24709.html,SUV 7 chỗ,Lắp ráp trong nước,72000,Đen,,2.5,Diesel,Số sàn,,462000000,2008
Ford Everest,,https://www.sanxehot.vn/mua-ban-xe/ford-everest-25at-2013-24708.html,SUV 7 chỗ,Lắp ráp trong nước,47000,Hồng phấn,,2.5,Diesel,Tự động,,752000000,2013
Ford Escape,,https://www.sanxehot.vn/mua-ban-xe/ford-escape-23at-2002-24706.html,SUV 5 chỗ,Nhập khẩu,82000,Trắng,,2.3,Xăng,Tự động,,295000000,2002
Ford Escape,,https://www.sanxehot.vn/mua-ban-xe/ford-escape-23at-2007-24705.html,SUV 5 chỗ,Lắp ráp trong nước,63000,Đen,,2.3,Xăng,Tự động,,295000000,2007
Ford Ranger,,https://www.sanxehot.vn/mua-ban-xe/ford-range-32at-2015-24704.html,Bán tải,Nhập khẩu,12000,Trắng,,3.2,Diesel,Tự động,,797000000,2015
Ford Escape,,https://www.sanxehot.vn/mua-ban-xe/ford-escape-30at-2003-24703.html,SUV 5 chỗ,Lắp ráp trong nước,30000,Đen,,3.0,Xăng,Tự động,,218000000,2003
Ford Focus,,https://www.sanxehot.vn/mua-ban-xe/ford-focus-18mt-2014-24702.html,Sedan,Lắp ráp trong nước,47000,Đen,,1.8,Xăng,Số sàn,,500000000,2014
Ford Ranger,,https://www.sanxehot.vn/mua-ban-xe/ford-ranger-22mt-2004-24701.html,Bán tải,Nhập khẩu,110000,Vàng cát,,2.2,Diesel,Số sàn,,250000000,2004
Ford Everest,,https://www.sanxehot.vn/mua-ban-xe/ford-everest-25at-2009-24700.html,SUV 7 chỗ,Lắp ráp trong nước,81000,Đen,,2.5,Diesel,Tự động,,569000000,2009
Ford Laser,,https://www.sanxehot.vn/mua-ban-xe/ford-laser-18mt-2001-24699.html,Sedan,Lắp ráp trong nước,160000,Trắng,,1.8,Xăng,Số sàn,,177000000,2001
Ford Everest,,https://www.sanxehot.vn/mua-ban-xe/ford-everest-25mt-2011-24698.html,SUV 7 chỗ,Lắp ráp trong nước,30000,Ghi xám,,2.5,Diesel,Số sàn,,605000000,2011
Ford Laser,,https://www.sanxehot.vn/mua-ban-xe/ford-laser-16mt-2000-24697.html,Sedan,Lắp ráp trong nước,15000,Xanh Đen,,1.6,Xăng,Số sàn,,145000000,2000
KIA Sorento,,https://www.sanxehot.vn/mua-ban-xe/kia-sorento-24at-2010-24696.html,SUV 7 chỗ,Nhập khẩu,70000,Vàng,,2.4,Xăng,Tự động,,645000000,2010
KIA Rio,,https://www.sanxehot.vn/mua-ban-xe/kia-rio-14at-2014-24688.html,Hatchback,Nhập khẩu,20000,Trắng,,1.4,Xăng,Tự động,,505000000,2014
Toyota Fortuner,,https://www.sanxehot.vn/mua-ban-xe/toyota-fortuner-27at-2012-24687.html,SUV 7 chỗ,Lắp ráp trong nước,50000,Bạc,,2.7,Xăng,Tự động,,785000000,2012
Toyota Vios,,https://www.sanxehot.vn/mua-ban-xe/toyota-vios-15mt-2005-24686.html,Sedan,Lắp ráp trong nước,15000,Vàng cát,,1.5,Xăng,Số sàn,,218000000,2005
Toyota Vios,,https://www.sanxehot.vn/mua-ban-xe/toyota-vios-15mt-2005-24685.html,Sedan,Lắp ráp trong nước,200000,Đen,,1.5,Xăng,Số sàn,,188000000,2005
Mercedes-Benz C-class,,https://www.sanxehot.vn/mua-ban-xe/mercedes-benz-c-class-c200-20at-2016-24684.html,Sedan,Lắp ráp trong nước,13000,Đen,,2.0,Xăng,Tự động,,1380000000,2016
Ford Ranger,,https://www.sanxehot.vn/mua-ban-xe/ford-ranger-25mt-2002-24659.html,Bán tải,Lắp ráp trong nước,120000,Vàng cát,,2.2,Diesel,Số sàn,,225000000,2002
KIA Carnival,,https://www.sanxehot.vn/mua-ban-xe/kia-carnival-25at-2008-24668.html,7 chỗ đa dụng,Lắp ráp trong nước,60000,Đen,,2.5,Xăng,Tự động,,380000000,2008
KIA Sedona,,https://www.sanxehot.vn/mua-ban-xe/kia-grand-sedona-33-gath-at-2016-24671.html,7 chỗ đa dụng,Nhập khẩu,6000,Vàng cát,,3.3,Xăng,Tự động,,1200000000,2016
Toyota Altis,,https://www.sanxehot.vn/mua-ban-xe/toyota-altis-18mt-2009-24681.html,Sedan,Lắp ráp trong nước,97000,Đen,,1.8,Xăng,Số sàn,,530000000,2009
Mercedes-Benz C-class,,https://www.sanxehot.vn/mua-ban-xe/mercedes-benz-c200-20at-2015-24680.html,Sedan,Lắp ráp trong nước,28000,Trắng,,2.0,Xăng,Tự động,,1330000000,2015
Chevrolet Captiva,,https://www.sanxehot.vn/mua-ban-xe/chevrolet-captiva-lt-24mt-2007-24677.html,SUV 7 chỗ,Lắp ráp trong nước,79000,Vàng cát,,2.4,Xăng,Số sàn,,350000000,2007
Chevrolet Cruze  ,,https://www.sanxehot.vn/mua-ban-xe/chevrolet-cruze-ltz-18at-2011-24678.html,Sedan,Lắp ráp trong nước,50000,Vàng cát,,1.8,Xăng,Tự động,,430000000,2011
Chevrolet Cruze  ,,https://www.sanxehot.vn/mua-ban-xe/chevrolet-cruze-ltz-18at-2013-24649.html,Sedan,Lắp ráp trong nước,42000,Đen,,1.8,Xăng,Tự động,,460000000,2013
Chevrolet Captiva,,https://www.sanxehot.vn/mua-ban-xe/chevrolet-captiva-ltz-maxx-20at-2009-24679.html,SUV 7 chỗ,Lắp ráp trong nước,67000,Bạc,,2.0,Xăng,Tự động,,435000000,2009
Chevrolet Cruze  ,,https://www.sanxehot.vn/mua-ban-xe/chevrolet-cruze-ls-16mt-2010-24676.html,Sedan,Lắp ráp trong nước,65000,Đen,,1.6,Xăng,Số sàn,,377000000,2010
Chevrolet Cruze  ,,https://www.sanxehot.vn/mua-ban-xe/chevrolet-cruze-ltz-18at-2015-24675.html,Sedan,Lắp ráp trong nước,8000,Đen,,1.8,Xăng,Tự động,,580000000,2015
Chevrolet Vivant ,,https://www.sanxehot.vn/mua-ban-xe/chevrolet-vivant-20mt-2009-24674.html,7 chỗ đa dụng,Lắp ráp trong nước,91000,Vàng cát,,2.0,Xăng,Số sàn,,250000000,2009
Ford Focus,,https://www.sanxehot.vn/mua-ban-xe/ford-focus-18at-2011-24670.html,Hatchback,Lắp ráp trong nước,25000,Bạc,,1.8,Xăng,Tự động,,470000000,2011
Ford Everest,,https://www.sanxehot.vn/mua-ban-xe/ford-everest-25at-2013-24669.html,SUV 7 chỗ,Lắp ráp trong nước,30000,Trắng,,2.5,Diesel,Tự động,,755000000,2013
Ford Everest,,https://www.sanxehot.vn/mua-ban-xe/ford-everest-25mt-2006-24667.html,SUV 7 chỗ,Lắp ráp trong nước,120000,Bạc,,2.5,Diesel,Số sàn,,365000000,2006
Ford Everest,,https://www.sanxehot.vn/mua-ban-xe/ford-everest-25mt-2011-24666.html,SUV 7 chỗ,Lắp ráp trong nước,83000,Bạc,,2.5,Diesel,Số sàn,,580000000,2011
Ford Everest,,https://www.sanxehot.vn/mua-ban-xe/ford-everest-25mt-2008-24665.html,SUV 7 chỗ,Lắp ráp trong nước,92000,Bạc,,2.5,Diesel,Số sàn,,475000000,2008
Ford Transit,,https://www.sanxehot.vn/mua-ban-xe/ford-transit-24mt-2002-24664.html,16 chỗ,Lắp ráp trong nước,380000,Trắng,,2.4,Diesel,Số sàn,,100000000,2002
Ford Escape,,https://www.sanxehot.vn/mua-ban-xe/ford-escape-30at-2004-24663.html,SUV 5 chỗ,Lắp ráp trong nước,95000,Đen,,3.0,Xăng,Tự động,,245000000,2004
Ford Ranger,,https://www.sanxehot.vn/mua-ban-xe/ford-ranger-25mt-2013-24662.html,Bán tải,Nhập khẩu,62000,Bạc,,2.5,Diesel,Số sàn,,570000000,2013
Ford Focus,,https://www.sanxehot.vn/mua-ban-xe/ford-focus-18mt-2008-24661.html,Sedan,Lắp ráp trong nước,70000,Đen,,1.8,Xăng,Số sàn,,315000000,2008
Ford Everest,,https://www.sanxehot.vn/mua-ban-xe/ford-everest-25mt-2008-24660.html,SUV 7 chỗ,Nhập khẩu,92000,Đen,,2.5,Diesel,Số sàn,,438000000,2008
Ford Escape,,https://www.sanxehot.vn/mua-ban-xe/ford-escape-30at-2003-24658.html,SUV 5 chỗ,Lắp ráp trong nước,110000,Đen,,3.0,Xăng,Tự động,,235000000,2003
Ford Transit,,https://www.sanxehot.vn/mua-ban-xe/ford-transit-24mt-2013-24657.html,16 chỗ,Lắp ráp trong nước,12000,Bạc,,2.4,Diesel,Số sàn,,580000000,2013
Hyundai Sonata,,https://www.sanxehot.vn/mua-ban-xe/hyundai-sonata-20at-2010-24656.html,Sedan,Nhập khẩu,65000,Trắng,,2.0,Xăng,Tự động,,605000000,2010
Kia Morning,,https://www.sanxehot.vn/mua-ban-xe/kia-morning-125mt-2012-24655.html,Hatchback,Lắp ráp trong nước,19000,Vàng,,1.25,Xăng,Số sàn,,233000000,2012
Chevrolet Spark,,https://www.sanxehot.vn/mua-ban-xe/chevrolet-spark-1-0mt-2009-24648.html,Hatchback,Lắp ráp trong nước,100000,Đỏ,,1.0,Xăng,Số sàn,,170000000,2009
Chevrolet Captiva,,https://www.sanxehot.vn/mua-ban-xe/chevorlet-captiva-ltz-24at-2016-24651.html,SUV 7 chỗ,Lắp ráp trong nước,20000,Trắng,,2.4,Xăng,Tự động,,725000000,2016
Chevrolet Captiva,,https://www.sanxehot.vn/mua-ban-xe/chevorlet-captiva-ltz-24at-2011-24652.html,SUV 7 chỗ,Lắp ráp trong nước,80000,Vàng cát,,2.4,Xăng,Tự động,,512000000,2011
Chevrolet Captiva,,https://www.sanxehot.vn/mua-ban-xe/chevorlet-captiva-ltz-24at-2007-24653.html,SUV 7 chỗ,Lắp ráp trong nước,65000,Bạc,,2.4,Xăng,Tự động,,375000000,2007
Chevrolet Captiva,,https://www.sanxehot.vn/mua-ban-xe/chevrolet-captiva-24mt-2007-24654.html,SUV 7 chỗ,Lắp ráp trong nước,92000,Xanh Đen,,2.4,Xăng,Số sàn,,354000000,2007	
Chevrolet Cruze  ,,https://www.sanxehot.vn/mua-ban-xe/chevrolet-cruze-ls-16mt-2015-24650.html,Sedan,Lắp ráp trong nước,20000,Trắng,,1.6,Xăng,Số sàn,,522000000,2015
Toyota Camry,,https://www.sanxehot.vn/mua-ban-xe/toyota-camry-le-25at-2010-24643.html,Sedan,Nhập khẩu,55000,Đen,,2.5,Xăng,Tự động,,980000000,2010
Toyota Camry,,https://www.sanxehot.vn/mua-ban-xe/toyota-camry-g-24at-2009-24642.html,Sedan,Lắp ráp trong nước,80000,Đen,,2.4,Xăng,Tự động,,720000000,2009
Toyota Vios,,https://www.sanxehot.vn/mua-ban-xe/toyota-vios-g-15at-2015-24641.html,Sedan,Lắp ráp trong nước,47000,Vàng cát,,1.5,Xăng,Tự động,,565000000,2015
Toyota Innova,,https://www.sanxehot.vn/mua-ban-xe/toyota-innova-e-20mt-2015-24640.html,7 chỗ đa dụng,Lắp ráp trong nước,65000,Bạc,,2.0,Xăng,Số sàn,,745000000,2015
Ford Escape,,https://www.sanxehot.vn/mua-ban-xe/ford-escape-30at-2005-24637.html,SUV 5 chỗ,Lắp ráp trong nước,250000,Đen,,3.0,Xăng,Tự động,,310000000,2005
Ford Ranger,,https://www.sanxehot.vn/mua-ban-xe/ford-ranger-25mt-2009-24635.html,Bán tải,Nhập khẩu,10000,Đen,,2.5,Diesel,Số sàn,,385000000,2009
Ford Focus,,https://www.sanxehot.vn/mua-ban-xe/ford-focus-18at-2011-24634.html,Hatchback,Lắp ráp trong nước,50000,Bạc,,1.8,Xăng,Tự động,,449000000,2011
Honda Civic,,https://www.sanxehot.vn/mua-ban-xe/honda-civic-18mt-2008-24633.html,Sedan,Lắp ráp trong nước,58000,Đen,,1.8,Xăng,Số sàn,,392000000,2008
Ford Mondeo,,https://www.sanxehot.vn/mua-ban-xe/ford-mondeo-25at-2003-24632.html,Sedan,Lắp ráp trong nước,20000,Đen,,2.5,Xăng,Tự động,,160000000,2003
Ford Focus,,https://www.sanxehot.vn/mua-ban-xe/ford-focus-18at-2009-24631.html,Hatchback,Lắp ráp trong nước,37000,Bạc,,1.8,Xăng,Tự động,,420000000,2009
Ford Fiesta,,https://www.sanxehot.vn/mua-ban-xe/ford-fiesta-16at-2013-24630.html,Hatchback,Lắp ráp trong nước,44000,Trắng,,1.6,Xăng,Tự động,,480000000,2013
Honda Civic,,https://www.sanxehot.vn/mua-ban-xe/honda-civic-18mt-2006-24629.html,Sedan,Lắp ráp trong nước,75000,Đỏ,,1.8,Xăng,Số sàn,,386000000,2006
Ford Focus,,https://www.sanxehot.vn/mua-ban-xe/ford-focus-18at-2012-24628.html,Hatchback,Lắp ráp trong nước,42000,Bạc,,1.8,Xăng,Tự động,,465000000,2012
Ford Everest,,https://www.sanxehot.vn/mua-ban-xe/ford-everest-25mt-2014-24627.html,SUV 7 chỗ,Lắp ráp trong nước,43000,Vàng cát,,2.5,Diesel,Số sàn,,775000000,2014
Ford Focus,,https://www.sanxehot.vn/mua-ban-xe/ford-focus-20at-2007-24626.html,Hatchback,Nhập khẩu,95000,Bạc,,2.0,Xăng,Tự động,,395000000,2007
Ford Ranger,,https://www.sanxehot.vn/mua-ban-xe/ford-ranger-25at-2015-24625.html,Bán tải,Nhập khẩu,15000,Vàng cát,,2.5,Diesel,Tự động,,610000000,2015
Ford Laser,,https://www.sanxehot.vn/mua-ban-xe/ford-laser-18mt-2005-24624.html,Sedan,Lắp ráp trong nước,87000,Đen,,1.8,Xăng,Số sàn,,265000000,2005
Ford Escape,,https://www.sanxehot.vn/mua-ban-xe/ford-escape-23at-2011-24623.html,SUV 5 chỗ,Lắp ráp trong nước,77000,Bạc,,2.3,Xăng,Tự động,,540000000,2011
Ford Escape,,https://www.sanxehot.vn/mua-ban-xe/ford-escape-30at-2005-24622.html,SUV 5 chỗ,Lắp ráp trong nước,75000,Đỏ,,3.0,Xăng,Tự động,,295000000,2005
Ford Escape,,https://www.sanxehot.vn/mua-ban-xe/ford-escape-23at-2012-24621.html,SUV 5 chỗ,Lắp ráp trong nước,32000,Bạc,,2.3,Xăng,Tự động,,545000000,2012
Hyundai Sonata,,https://www.sanxehot.vn/mua-ban-xe/hyundai-sonata-20at-1996-24618.html,Sedan,Nhập khẩu,200000,Xanh Dương,,2.0,Xăng,Số sàn,,63000000,1996
Toyota Vios,,https://www.sanxehot.vn/mua-ban-xe/toyota-vios-g-2008-24617.html,Sedan,Lắp ráp trong nước,46000,Xanh Dương,,1.5,Xăng,Tự động,,445000000,2008
Toyota Yaris,,https://www.sanxehot.vn/mua-ban-xe/toyota-yaris-g-2014-24616.html,Hatchback,Nhập khẩu,6000,Bạc,,,Xăng,Tự động,,625000000,2014
Toyota Land Cruiser,,https://www.sanxehot.vn/mua-ban-xe/toyota-land-cruiser-2-1990-24608.html,SUV 7 chỗ,Nhập khẩu,100000,Bạc,,2.4,Diesel,Số sàn,,190000000,1990
