name,brand,source_url,type,origin,km_driven,external_color,seats,engine_capacity,fuels,transmission,wheel_drive,price,year
Toyota Innova,,https://www.sanxehot.vn/mua-ban-xe/toyota-innova-20mt-2008-25714.html,7 chỗ đa dụng,Lắp ráp trong nước,90000,Vàng cát,,2.0,Xăng,Số sàn,,486000000,2008
Hyundai Avante,,https://www.sanxehot.vn/mua-ban-xe/hyundai-avante-16at-2012-25713.html,Sedan,Lắp ráp trong nước,40000,Đen,,1.6,Xăng,Tự động,,458000000,2012
Chevrolet Orlando,,https://www.sanxehot.vn/mua-ban-xe/chevrolet-orlando-18mt-2012-25711.html,SUV 7 chỗ,Nhập khẩu,20000,Vàng cát,,1.8,Xăng,Số sàn,,455000000,2012
Ford Mondeo,,https://www.sanxehot.vn/mua-ban-xe/ford-mondeo-20at-2003-25710.html,Sedan,Lắp ráp trong nước,200000,Đen,,2.0,Xăng,Tự động,,175000000,2003
Mercedes-Benz GL-class,,https://www.sanxehot.vn/mua-ban-xe/mercedes-benz-gl450-30at-2011-25709.html,SUV 7 chỗ,Nhập khẩu,32000,Đen,,3.0,Xăng,Tự động,,1790000000,2011
Mazda 2,,https://www.sanxehot.vn/mua-ban-xe/mazda-2-15at-2016-25705.html,Sedan,Lắp ráp trong nước,5000,Xanh Đen,,1.5,Xăng,Tự động,,525000000,2016
Ford Fiesta,,https://www.sanxehot.vn/mua-ban-xe/ford-fiesta-10at-2014-25703.html,Hatchback,Lắp ráp trong nước,20000,Nâu,,1.0,Xăng,Tự động,,440000000,2014
Ford Fiesta,,https://www.sanxehot.vn/mua-ban-xe/ford-fiesta-10at-2016-25702.html,Hatchback,Lắp ráp trong nước,4000,Bạc,,1.0,Xăng,Tự động,,600000000,2016
Mercedes-Benz S-class,,https://www.sanxehot.vn/mua-ban-xe/mercedes-benz-s400-30at-2015-25701.html,Sedan,Nhập khẩu,16000,Đen,,3.0,Xăng,Tự động,,3450000000,2015
Mercedes-Benz GLA-Class,,https://www.sanxehot.vn/mua-ban-xe/mercedes-benz-gla-45-amg-20at-2016-25700.html,SUV 5 chỗ,Nhập khẩu,6000,Trắng,,2.0,Xăng,Tự động,,2050000000,2016
Mercedes-Benz GLK-class,,https://www.sanxehot.vn/mua-ban-xe/mercedes-glk250-amg-20at-2014-25698.html,SUV 5 chỗ,Nhập khẩu,15000,Trắng,,2.0,Xăng,Tự động,,1550000000,2014
Suzuki Vitara,,https://www.sanxehot.vn/mua-ban-xe/suzuki-vitara-16at-2016-25696.html,SUV 5 chỗ,Nhập khẩu,6000,Màu Kem,,1.6,Xăng,Tự động,,760000000,2016
Nissan Teana,,https://www.sanxehot.vn/mua-ban-xe/nissan-teana-20at-2010-25695.html,Sedan,Nhập khẩu,60000,Đen,,2.0,Xăng,Tự động,,610000000,2010
Kia Forte,,https://www.sanxehot.vn/mua-ban-xe/kia-forte-koup-16at-2010-25694.html,Sedan,Nhập khẩu,60000,Đỏ,,1.6,Xăng,Tự động,,485000000,2010
Kia Morning,,https://www.sanxehot.vn/mua-ban-xe/kia-morning-10at-2011-25693.html,Hatchback,Nhập khẩu,36000,Màu Kem,,1.0,Xăng,Tự động,,378000000,2011
